TradeID,B/S,OrdQty,Exch,Contract,Price,Account,TIF,Type,Timestamp
T0140,B,172,CME,ZBM5,141911.0,TRADER_E,GTC,Limit,2024-11-01 08:30:06.983
T0012,S,103,CME,ZBM5,141999.0,TRADER_B,Day,Limit,2024-11-01 08:30:00.571
T0245,S,257,CME,ESM5,4251.5,TRADER_E,Day,Market,2024-11-01 08:30:12.219
T0199,S,415,CME,ESM5,4249.75,TRADER_D,Day,Limit,2024-11-01 08:30:09.940
T0028,B,230,ICE,RTY,1999.4,TRADER_C,IOC,Stop,2024-11-01 08:30:01.361
T0156,S,327,CME,ESM5,4250.25,TRADER_A,Day,Stop,2024-11-01 08:30:07.766
T0005,S,260,CME,ZBM5,141984.0,TRADER_E,Day,Market,2024-11-01 08:30:00.216
T0123,B,172,CME,GC,1950.2,TRADER_C,IOC,Limit,2024-11-01 08:30:06.122
T0033,S,442,CME,ESM5,4251.75,TRADER_C,Day,Market,2024-11-01 08:30:01.627
T0145,S,495,CME,ZBM5,141895.0,TRADER_E,IOC,Stop,2024-11-01 08:30:07.206
T0179,S,414,CME,ZBM5,141996.0,TRADER_D,Day,Stop,2024-11-01 08:30:08.917
T0139,B,179,CME,ZBM5,142017.0,TRADER_D,Day,Limit,2024-11-01 08:30:06.945
T0063,B,41,CME,CL,74.99,TRADER_C,GTC,Stop,2024-11-01 08:30:03.110
T0136,B,152,CME,ESM5,4252.0,TRADER_A,IOC,Market,2024-11-01 08:30:06.750
T0129,B,348,CME,ESM5,4250.5,TRADER_D,Day,Limit,2024-11-01 08:30:06.444
T0227,S,192,CME,ZBM5,141921.0,TRADER_B,GTC,Limit,2024-11-01 08:30:11.324
T0206,B,219,CME,ESM5,4248.75,TRADER_A,IOC,Market,2024-11-01 08:30:10.261
T0071,S,260,CME,NQM5,16500.0,TRADER_A,Day,Limit,2024-11-01 08:30:03.542
T0193,B,46,CME,ESM5,4249.75,TRADER_C,GTC,Limit,2024-11-01 08:30:09.637
T0065,B,140,CME,ZBM5,141941.0,TRADER_E,GTC,Limit,2024-11-01 08:30:03.246
T0045,B,174,CME,ZBM5,142108.0,TRADER_E,GTC,Market,2024-11-01 08:30:02.249
T0166,S,298,CME,ESM5,4246.25,TRADER_A,Day,Limit,2024-11-01 08:30:08.252
T0041,B,191,CME,ZBM5,141952.0,TRADER_A,IOC,Limit,2024-11-01 08:30:02.018
T0124,B,26,CME,ESM5,4249.75,TRADER_D,GTC,Limit,2024-11-01 08:30:06.172
T0154,S,454,CME,ESM5,4253.0,TRADER_D,IOC,Limit,2024-11-01 08:30:07.685
T0024,S,445,CME,NQM5,16495.5,TRADER_D,IOC,Market,2024-11-01 08:30:01.179
T0212,S,79,CME,NQM5,16492.0,TRADER_B,GTC,Market,2024-11-01 08:30:10.572
T0184,S,267,CME,GC,1948.4,TRADER_D,Day,Limit,2024-11-01 08:30:09.193
T0082,S,33,ICE,RTY,1999.6,TRADER_B,Day,Limit,2024-11-01 08:30:04.073
T0040,B,5,ICE,RTY,1999.2,TRADER_E,Day,Limit,2024-11-01 08:30:01.963
T0210,S,444,CME,CL,74.85,TRADER_E,IOC,Market,2024-11-01 08:30:10.475
T0048,B,49,CME,ZBM5,141956.0,TRADER_C,IOC,Limit,2024-11-01 08:30:02.391
T0095,S,378,ICE,RTY,1999.6,TRADER_E,GTC,Limit,2024-11-01 08:30:04.716
T0191,S,179,CME,CL,74.94,TRADER_A,Day,Limit,2024-11-01 08:30:09.501
T0162,B,365,CME,ZBM5,141954.0,TRADER_B,IOC,Limit,2024-11-01 08:30:08.051
T0044,S,35,CME,ZBM5,141941.0,TRADER_D,GTC,Market,2024-11-01 08:30:02.189
T0146,B,353,CME,ZBM5,141955.0,TRADER_A,Day,Limit,2024-11-01 08:30:07.289
T0183,S,291,CME,ESM5,4250.0,TRADER_C,Day,Limit,2024-11-01 08:30:09.131
T0004,S,91,CME,ZBM5,142077.0,TRADER_D,Day,Stop,2024-11-01 08:30:00.154
T0106,B,483,ICE,RTY,2000.3,TRADER_A,Day,Market,2024-11-01 08:30:05.287
T0054,S,99,CME,NQM5,16504.5,TRADER_D,Day,Limit,2024-11-01 08:30:02.681
T0134,S,64,ICE,RTY,2000.2,TRADER_D,IOC,Limit,2024-11-01 08:30:06.662
T0228,S,154,ICE,RTY,2001.7,TRADER_C,GTC,Limit,2024-11-01 08:30:11.351
T0194,B,170,CME,GC,1950.4,TRADER_D,IOC,Limit,2024-11-01 08:30:09.676
T0233,B,443,CME,ESM5,4248.75,TRADER_C,Day,Market,2024-11-01 08:30:11.641
T0050,S,158,CME,NQM5,16496.5,TRADER_E,IOC,Market,2024-11-01 08:30:02.458
T0164,B,462,CME,NQM5,16498.5,TRADER_D,Day,Market,2024-11-01 08:30:08.175
T0081,S,120,ICE,RTY,1998.9,TRADER_A,GTC,Stop,2024-11-01 08:30:04.015
T0035,B,34,CME,ZBM5,141895.0,TRADER_E,IOC,Limit,2024-11-01 08:30:01.720
T0207,S,286,ICE,RTY,1999.6,TRADER_B,Day,Market,2024-11-01 08:30:10.347
T0008,B,290,CME,ZBM5,142049.0,TRADER_C,GTC,Limit,2024-11-01 08:30:00.360
T0172,B,78,ICE,RTY,1998.4,TRADER_B,Day,Limit,2024-11-01 08:30:08.575
T0111,B,29,CME,NQM5,16505.0,TRADER_A,Day,Limit,2024-11-01 08:30:05.547
T0092,B,228,CME,GC,1949.3,TRADER_B,Day,Limit,2024-11-01 08:30:04.597
T0084,B,318,CME,ESM5,4249.0,TRADER_D,Day,Limit,2024-11-01 08:30:04.191
T0224,S,297,CME,ESM5,4249.5,TRADER_D,Day,Limit,2024-11-01 08:30:11.164
T0229,B,120,CME,GC,1949.4,TRADER_D,GTC,Limit,2024-11-01 08:30:11.401
T0090,S,326,CME,NQM5,16483.0,TRADER_E,Day,Market,2024-11-01 08:30:04.454
T0009,B,61,CME,CL,74.83,TRADER_D,GTC,Limit,2024-11-01 08:30:00.448
T0014,B,37,ICE,RTY,2000.1,TRADER_D,GTC,Limit,2024-11-01 08:30:00.654
T0060,B,411,ICE,RTY,1999.8,TRADER_E,IOC,Limit,2024-11-01 08:30:02.972
T0216,B,401,CME,ZBM5,141953.0,TRADER_A,Day,Limit,2024-11-01 08:30:10.755
T0132,B,14,ICE,RTY,1999.7,TRADER_B,Day,Stop,2024-11-01 08:30:06.582
T0018,B,231,CME,ESM5,4253.5,TRADER_C,GTC,Limit,2024-11-01 08:30:00.895
T0167,B,12,ICE,RTY,1999.3,TRADER_B,Day,Stop,2024-11-01 08:30:08.311
T0073,S,434,CME,ZBM5,142085.0,TRADER_C,IOC,Limit,2024-11-01 08:30:03.636
T0221,S,21,CME,ZBM5,141944.0,TRADER_A,GTC,Limit,2024-11-01 08:30:11.007
T0135,S,54,CME,ESM5,4249.25,TRADER_E,GTC,Limit,2024-11-01 08:30:06.712
T0205,B,146,CME,ZBM5,141947.0,TRADER_E,Day,Market,2024-11-01 08:30:10.225
T0231,B,20,CME,ESM5,4249.5,TRADER_A,GTC,Limit,2024-11-01 08:30:11.547
T0064,B,405,CME,ESM5,4254.25,TRADER_D,Day,Limit,2024-11-01 08:30:03.164
T0055,S,306,CME,ESM5,4250.0,TRADER_E,IOC,Limit,2024-11-01 08:30:02.722
T0108,B,450,CME,ESM5,4248.0,TRADER_C,Day,Market,2024-11-01 08:30:05.356
T0051,S,238,CME,ZBM5,141949.0,TRADER_A,GTC,Market,2024-11-01 08:30:02.505
T0240,B,281,CME,ZBM5,141964.0,TRADER_E,GTC,Market,2024-11-01 08:30:11.951
T0175,S,446,ICE,RTY,1999.9,TRADER_E,Day,Limit,2024-11-01 08:30:08.717
T0209,B,177,CME,ESM5,4251.5,TRADER_D,Day,Market,2024-11-01 08:30:10.415
T0190,S,337,CME,ESM5,4247.5,TRADER_E,Day,Market,2024-11-01 08:30:09.491
T0247,B,118,CME,ZBM5,142032.0,TRADER_B,GTC,Limit,2024-11-01 08:30:12.320
T0208,S,179,CME,ZBM5,142055.0,TRADER_C,Day,Limit,2024-11-01 08:30:10.360
T0222,S,42,CME,ESM5,4251.25,TRADER_B,Day,Market,2024-11-01 08:30:11.059
T0170,B,417,CME,ZBM5,142011.0,TRADER_E,GTC,Market,2024-11-01 08:30:08.458
T0059,S,372,CME,ESM5,4249.5,TRADER_D,Day,Limit,2024-11-01 08:30:02.919
T0049,B,431,CME,NQM5,16505.0,TRADER_D,GTC,Limit,2024-11-01 08:30:02.448
T0089,B,41,CME,NQM5,16493.5,TRADER_D,Day,Limit,2024-11-01 08:30:04.402
T0022,S,145,CME,ZBM5,142011.0,TRADER_B,GTC,Limit,2024-11-01 08:30:01.066
T0058,B,466,CME,ESM5,4250.0,TRADER_C,Day,Stop,2024-11-01 08:30:02.895
T0204,S,183,CME,NQM5,16507.5,TRADER_D,GTC,Limit,2024-11-01 08:30:10.160
T0161,S,3,CME,ESM5,4248.75,TRADER_A,GTC,Market,2024-11-01 08:30:08.026
T0243,B,213,CME,GC,1948.6,TRADER_C,Day,Market,2024-11-01 08:30:12.120
T0188,S,374,CME,ESM5,4249.5,TRADER_C,Day,Limit,2024-11-01 08:30:09.386
T0192,S,332,CME,NQM5,16498.5,TRADER_B,Day,Market,2024-11-01 08:30:09.589
T0130,S,173,CME,GC,1949.7,TRADER_E,Day,Limit,2024-11-01 08:30:06.490
T0038,B,296,CME,NQM5,16495.0,TRADER_C,Day,Limit,2024-11-01 08:30:01.868
T0158,B,199,ICE,RTY,1999.9,TRADER_C,IOC,Limit,2024-11-01 08:30:07.859
T0236,B,238,CME,ZBM5,141966.0,TRADER_A,Day,Market,2024-11-01 08:30:11.762
T0002,S,282,CME,NQM5,16496.0,TRADER_B,Day,Limit,2024-11-01 08:30:00.070
T0053,B,314,CME,ZBM5,142109.0,TRADER_C,GTC,Limit,2024-11-01 08:30:02.603
T0150,S,249,ICE,RTY,1999.6,TRADER_E,Day,Limit,2024-11-01 08:30:07.477
T0131,S,195,ICE,RTY,2001.1,TRADER_A,IOC,Stop,2024-11-01 08:30:06.520
T0152,B,324,CME,ZBM5,141918.0,TRADER_B,Day,Limit,2024-11-01 08:30:07.554
T0104,B,55,CME,GC,1949.5,TRADER_D,IOC,Market,2024-11-01 08:30:05.177
T0100,S,51,CME,ESM5,4249.75,TRADER_E,GTC,Limit,2024-11-01 08:30:04.990
T0117,B,90,CME,GC,1951.2,TRADER_B,GTC,Limit,2024-11-01 08:30:05.828
T0088,S,145,CME,NQM5,16489.5,TRADER_C,IOC,Stop,2024-11-01 08:30:04.379
T0203,B,455,ICE,RTY,2000.4,TRADER_C,GTC,Limit,2024-11-01 08:30:10.132
T0075,B,217,ICE,RTY,1999.9,TRADER_E,IOC,Market,2024-11-01 08:30:03.738
T0215,B,132,CME,GC,1951.2,TRADER_E,Day,Limit,2024-11-01 08:30:10.742
T0211,S,49,CME,CL,74.91,TRADER_A,GTC,Limit,2024-11-01 08:30:10.546
T0122,B,397,CME,NQM5,16507.0,TRADER_B,Day,Market,2024-11-01 08:30:06.098
T0250,B,147,CME,NQM5,16495.0,TRADER_E,Day,Market,2024-11-01 08:30:12.468
T0021,B,314,CME,ZBM5,142087.0,TRADER_A,IOC,Market,2024-11-01 08:30:01.022
T0189,S,275,CME,CL,75.01,TRADER_D,Day,Limit,2024-11-01 08:30:09.416
T0072,S,44,ICE,RTY,1997.7,TRADER_B,IOC,Market,2024-11-01 08:30:03.550
